Price,Close,High,Low,Open,Volume
Ticker,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
Date,,,,,
2016-07-09,2161.739990234375,2169.050048828125,2131.719970703125,2131.719970703125,17441690000
2016-07-16,2175.030029296875,2175.6298828125,2159.010009765625,2162.0400390625,15651690000
2016-07-23,2173.60009765625,2177.090087890625,2159.070068359375,2173.7099609375,18198170000
2016-07-30,2182.8701171875,2182.8701171875,2147.580078125,2173.14990234375,18513540000
2016-08-06,2184.050048828125,2188.449951171875,2172.0,2183.760009765625,16340620000
2016-08-13,2183.8701171875,2193.81005859375,2168.5,2186.080078125,16049210000
2016-08-20,2169.0400390625,2193.419921875,2160.389892578125,2181.580078125,15278970000
2016-08-27,2179.97998046875,2184.8701171875,2157.090087890625,2170.18994140625,15911210000
2016-09-03,2127.81005859375,2187.8701171875,2127.81005859375,2181.610107421875,14728870000
2016-09-10,2139.159912109375,2163.300048828125,2119.1201171875,2120.860107421875,20204330000
2016-09-17,2164.68994140625,2179.989990234375,2135.909912109375,2143.989990234375,16758370000
2016-09-24,2168.27001953125,2175.300048828125,2141.550048828125,2158.5400390625,18848810000
2016-10-01,2153.739990234375,2165.860107421875,2144.010009765625,2164.330078125,17730470000
2016-10-08,2132.97998046875,2169.60009765625,2114.719970703125,2160.389892578125,15960480000
2016-10-15,2141.159912109375,2148.43994140625,2124.429931640625,2132.949951171875,16166080000
2016-10-22,2126.409912109375,2154.7900390625,2119.360107421875,2148.5,19131940000
2016-10-29,2085.179931640625,2133.25,2083.7900390625,2129.780029296875,20488880000
2016-11-05,2164.449951171875,2182.300048828125,2100.590087890625,2100.590087890625,25381600000
2016-11-12,2181.89990234375,2189.889892578125,2156.080078125,2165.639892578125,21162310000
2016-11-19,2213.35009765625,2213.35009765625,2186.429931640625,2186.429931640625,12576460000
2016-11-26,2191.949951171875,2214.10009765625,2187.43994140625,2210.2099609375,21612530000
2016-12-03,2259.530029296875,2259.800048828125,2199.969970703125,2200.64990234375,20349620000
2016-12-10,2258.070068359375,2277.530029296875,2248.43994140625,2258.830078125,22426490000
2016-12-17,2263.7900390625,2272.56005859375,2256.080078125,2259.239990234375,14315870000
2016-12-24,2238.830078125,2273.820068359375,2233.6201171875,2266.22998046875,9402730000
2016-12-31,2276.97998046875,2282.10009765625,2245.1298828125,2251.570068359375,14669060000
2017-01-07,2274.639892578125,2279.27001953125,2254.25,2273.590087890625,17042270000
2017-01-14,2271.31005859375,2276.9599609375,2258.409912109375,2269.139892578125,13609860000
2017-01-21,2294.68994140625,2300.989990234375,2257.02001953125,2267.780029296875,17570460000
2017-01-28,2297.419921875,2298.31005859375,2267.2099609375,2286.010009765625,19019690000
2017-02-04,2316.10009765625,2319.22998046875,2285.3798828125,2294.280029296875,17355000000
2017-02-11,2351.159912109375,2351.31005859375,2321.419921875,2321.719970703125,17859010000
2017-02-18,2367.340087890625,2368.260009765625,2352.8701171875,2354.909912109375,14914870000
2017-02-25,2383.1201171875,2400.97998046875,2358.9599609375,2365.22998046875,19525470000
2017-03-04,2372.60009765625,2378.800048828125,2354.5400390625,2375.22998046875,17745030000
2017-03-11,2378.25,2390.010009765625,2358.179931640625,2371.56005859375,18798600000
2017-03-18,2343.97998046875,2381.929931640625,2335.739990234375,2378.239990234375,17156540000
2017-03-25,2362.719970703125,2370.419921875,2322.25,2329.110107421875,16235510000
2017-04-01,2355.5400390625,2378.360107421875,2344.72998046875,2362.340087890625,16665670000
2017-04-08,2328.949951171875,2366.3701171875,2328.949951171875,2357.159912109375,12261150000
2017-04-15,2348.68994140625,2361.3701171875,2332.510009765625,2332.6201171875,16793410000
2017-04-22,2384.199951171875,2398.159912109375,2369.18994140625,2370.330078125,19649630000
2017-04-29,2399.2900390625,2399.2900390625,2379.75,2388.5,18870720000
2017-05-06,2390.89990234375,2403.8701171875,2381.739990234375,2399.93994140625,17769530000
2017-05-13,2381.72998046875,2405.77001953125,2352.719970703125,2393.97998046875,19227790000
2017-05-20,2415.820068359375,2418.7099609375,2386.919921875,2387.2099609375,16127520000
2017-05-27,2439.070068359375,2440.22998046875,2403.590087890625,2411.669921875,15050020000
2017-06-03,2431.77001953125,2446.199951171875,2415.699951171875,2437.830078125,17635530000
2017-06-10,2433.14990234375,2443.75,2418.530029296875,2425.8798828125,19540080000
2017-06-17,2438.300048828125,2453.820068359375,2430.739990234375,2442.550048828125,19053080000
2017-06-24,2423.409912109375,2450.419921875,2405.699951171875,2443.320068359375,17524000000
2017-07-01,2425.179931640625,2439.169921875,2407.699951171875,2431.389892578125,11567730000
2017-07-08,2459.27001953125,2463.5400390625,2412.7900390625,2424.510009765625,15102550000
2017-07-15,2472.5400390625,2477.6201171875,2450.340087890625,2459.5,15129180000
2017-07-22,2472.10009765625,2484.0400390625,2459.929931640625,2472.0400390625,18072700000
2017-07-29,2476.830078125,2480.3798828125,2466.47998046875,2475.93994140625,17335730000
2017-08-05,2441.320068359375,2490.8701171875,2437.75,2477.139892578125,16391220000
2017-08-12,2425.550048828125,2474.929931640625,2420.68994140625,2454.9599609375,15295240000
2017-08-19,2443.050048828125,2454.77001953125,2417.35009765625,2425.5,13824620000
2017-08-26,2476.550048828125,2480.3798828125,2428.199951171875,2447.35009765625,14126800000
2017-09-02,2461.429931640625,2471.969970703125,2446.550048828125,2470.35009765625,13576530000
2017-09-09,2500.22998046875,2500.22998046875,2474.52001953125,2474.52001953125,18184550000
2017-09-16,2502.219970703125,2508.85009765625,2496.5400390625,2502.510009765625,15886600000
2017-09-23,2519.360107421875,2519.43994140625,2488.030029296875,2499.389892578125,16263660000
2017-09-30,2549.330078125,2552.510009765625,2520.39990234375,2521.199951171875,15278620000
2017-10-07,2553.169921875,2557.64990234375,2541.60009765625,2551.389892578125,14748620000
2017-10-14,2575.2099609375,2575.43994140625,2547.919921875,2555.570068359375,15233210000
2017-10-21,2581.070068359375,2582.97998046875,2544.0,2578.080078125,18323450000
2017-10-28,2587.840087890625,2588.419921875,2566.169921875,2577.75,18964700000
2017-11-04,2582.300048828125,2597.02001953125,2566.330078125,2587.469970703125,18589450000
2017-11-11,2578.85009765625,2590.090087890625,2557.449951171875,2576.530029296875,17274900000
2017-11-18,2602.419921875,2604.2099609375,2578.239990234375,2579.489990234375,10525170000
2017-11-25,2642.219970703125,2657.739990234375,2598.8701171875,2602.659912109375,19518320000
2017-12-02,2651.5,2665.18994140625,2624.75,2657.18994140625,17250300000
2017-12-09,2675.81005859375,2679.6298828125,2651.469970703125,2652.18994140625,19458420000
2017-12-16,2683.340087890625,2694.969970703125,2676.110107421875,2685.919921875,16075840000
2017-12-23,2673.610107421875,2692.1201171875,2673.610107421875,2679.090087890625,8796210000
2017-12-30,2743.14990234375,2743.449951171875,2682.360107421875,2683.72998046875,13878080000
2018-01-06,2786.239990234375,2787.85009765625,2736.06005859375,2742.669921875,17526430000
2018-01-13,2810.300048828125,2810.330078125,2768.639892578125,2798.9599609375,15580750000
2018-01-20,2872.8701171875,2872.8701171875,2808.1201171875,2809.159912109375,18457670000
2018-01-27,2762.1298828125,2870.6201171875,2759.969970703125,2867.22998046875,20193360000
2018-02-03,2619.550048828125,2763.389892578125,2532.68994140625,2741.06005859375,26898440000
2018-02-10,2732.219970703125,2754.419921875,2622.449951171875,2636.75,18927760000
2018-02-17,2747.300048828125,2747.760009765625,2697.77001953125,2722.989990234375,14356940000
2018-02-24,2691.25,2789.14990234375,2647.320068359375,2757.3701171875,19838970000
2018-03-03,2786.570068359375,2786.570068359375,2675.75,2681.06005859375,17112270000
2018-03-10,2752.010009765625,2801.89990234375,2741.469970703125,2790.5400390625,18908730000
2018-03-17,2588.260009765625,2741.3798828125,2585.889892578125,2741.3798828125,17629670000
2018-03-24,2640.8701171875,2674.780029296875,2593.06005859375,2619.35009765625,14747480000
2018-03-31,2604.469970703125,2672.080078125,2553.800048828125,2633.449951171875,16943670000
2018-04-07,2656.300048828125,2680.260009765625,2610.7900390625,2617.179931640625,15743660000
2018-04-14,2670.139892578125,2717.489990234375,2660.610107421875,2670.10009765625,16522340000
2018-04-21,2669.909912109375,2683.550048828125,2612.669921875,2675.39990234375,17235520000
